home,away,home_win,away_win,home_diff,away_diff
Arsenal,Chelsea,3-0,1-4,3,-3
Arsenal,Liverpool,4-1,0-3,3,-3
Arsenal,Manchester City,3-1,0-3,2,-3
Arsenal,Manchester United,4-0,2-4,4,-2
Arsenal,Tottenham Hotspur,5-2,0-3,3,-3
Chelsea,Arsenal,6-0,2-3,6,-1
Chelsea,Liverpool,4-0,1-4,4,-3
Chelsea,Manchester City,6-0,0-3,6,-3
Chelsea,Manchester United,5-0,3-6,5,-3
Chelsea,Tottenham Hotspur,4-0,1-3,4,-2
Liverpool,Arsenal,5-1,2-6,4,-4
Liverpool,Chelsea,5-1,1-4,4,-3
Liverpool,Manchester City,6-0,0-2,6,-2
Liverpool,Manchester United,7-0,1-3,7,-2
Liverpool,Tottenham Hotspur,7-0,0-2,7,-2
Manchester City,Arsenal,6-3,1-5,3,-4
Manchester City,Chelsea,6-0,0-1,6,-1
Manchester City,Liverpool,4-0,0-3,4,-3
Manchester City,Manchester United,6-3,0-3,3,-3
Manchester City,Tottenham Hotspur,4-1,1-3,3,-2
Manchester United,Arsenal,8-2,0-2,6,-2
Manchester United,Chelsea,6-0,0-3,6,-3
Manchester United,Liverpool,4-0,0-5,4,-5
Manchester United,Manchester City,5-0,1-6,5,-5
Manchester United,Tottenham Hotspur,5-0,1-6,5,-5
Tottenham Hotspur,Arsenal,5-1,1-5,4,-4
Tottenham Hotspur,Chelsea,5-1,1-6,4,-5
Tottenham Hotspur,Liverpool,4-1,0-5,3,-5
Tottenham Hotspur,Manchester City,3-0,0-5,4,-5
Tottenham Hotspur,Manchester United,3-1,1-5,2,-4